Date : 2023-04-24 19:02:04
Directory : d:\Programming\Projects\Flutter Projects\Work\Active\kw_store
Total : 60 files,  2431 codes, 19 comments, 263 blanks, all 2713 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\core\utils\fonts_manager.dart                                                             | Dart     |          1 |          0 |          0 |          1 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\core\utils\utils.dart                                                                     | Dart     |         89 |          0 |          6 |         95 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\main.dart                                                                                 | Dart     |          0 |         -7 |          2 |         -5 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\auth\data\datasources\auth_local_data_source.dart                                 | Dart     |          1 |          0 |          0 |          1 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\payment\presentation\bloc\payment_bloc.dart                                       | Dart     |         54 |          1 |         13 |         68 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\payment\presentation\bloc\payment_event.dart                                      | Dart     |         28 |          0 |         10 |         38 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\payment\presentation\bloc\payment_state.dart                                      | Dart     |         43 |          1 |          4 |         48 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\payment\presentation\screens\checkout_screen.dart                                 | Dart     |        448 |          6 |          9 |        463 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\payment\presentation\screens\credit_card_screen.dart                              | Dart     |         50 |          1 |          5 |         56 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\payment\presentation\screens\payment_method_screen.dart                           | Dart     |         45 |          1 |          6 |         52 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\payment\presentation\widgets\credit card\card_cvv_widget.dart                     | Dart     |         40 |          0 |          4 |         44 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\payment\presentation\widgets\credit card\card_expiry_date_widget.dart             | Dart     |         41 |          0 |          4 |         45 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\payment\presentation\widgets\credit card\card_holder_name_widget.dart             | Dart     |         30 |          0 |          4 |         34 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\payment\presentation\widgets\credit card\card_number_widget.dart                  | Dart     |         34 |          0 |          4 |         38 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\payment\presentation\widgets\credit card\credit_card_pay_button_widget.dart       | Dart     |         27 |          0 |          4 |         31 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\payment\presentation\widgets\credit card\custom_credit_card_widget.dart           | Dart     |         29 |          1 |          4 |         34 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\payment\presentation\widgets\payment method\pay_with_cash_on_delivery_widget.dart | Dart     |         47 |          0 |          4 |         51 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\payment\presentation\widgets\payment method\pay_with_master_card_widget.dart      | Dart     |         26 |          1 |          5 |         32 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\payment\presentation\widgets\payment method\pay_with_mobile_wallet_widget.dart    | Dart     |         47 |          0 |          4 |         51 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\payment\presentation\widgets\payment method\pay_with_other_methods_widget.dart    | Dart     |         47 |          0 |          4 |         51 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\payment\presentation\widgets\payment method\pay_with_paypal_card_widget.dart      | Dart     |         24 |          0 |          4 |         28 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\payment\presentation\widgets\payment method\pay_with_visa_card_widget.dart        | Dart     |         26 |          0 |          4 |         30 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\payment\presentation\widgets\payment method\payment_method_item_widget.dart       | Dart     |         63 |          0 |          3 |         66 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\profile\data\datasources\profile_local_data_source.dart                           | Dart     |         32 |          5 |         10 |         47 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\profile\data\datasources\profile_remote_data_source.dart                          | Dart     |          0 |         -5 |          0 |         -5 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\profile\data\repositories\profile_repository_implementation.dart                  | Dart     |         49 |          0 |          4 |         53 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\profile\domain\entities\address.dart                                              | Dart     |         31 |          1 |          4 |         36 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\profile\domain\repositories\profile_repository.dart                               | Dart     |          5 |          4 |          4 |         13 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\profile\domain\usecases\delete_new_address_use_case.dart                          | Dart     |         13 |          0 |          5 |         18 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\profile\domain\usecases\get_user_address_use_case.dart                            | Dart     |         14 |          0 |          5 |         19 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\profile\domain\usecases\save_new_address_use_case.dart                            | Dart     |         13 |          0 |          5 |         18 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\profile\domain\usecases\update_user_address_use_case.dart                         | Dart     |         13 |          0 |          5 |         18 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\profile\presentation\bloc\profile_bloc.dart                                       | Dart     |        316 |          0 |         52 |        368 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\profile\presentation\bloc\profile_event.dart                                      | Dart     |         54 |          0 |         10 |         64 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\profile\presentation\bloc\profile_state.dart                                      | Dart     |        122 |         18 |          9 |        149 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\profile\presentation\screens\add_new_address_screen.dart                          | Dart     |         52 |          0 |          0 |         52 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\profile\presentation\screens\address_screen.dart                                  | Dart     |         49 |          2 |          0 |         51 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\profile\presentation\widgets\add new address\address_information_widget.dart      | Dart     |         89 |          0 |          4 |         93 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\profile\presentation\widgets\add new address\custom_map_widget.dart               | Dart     |        117 |          0 |         10 |        127 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\profile\presentation\widgets\add new address\save_new_address_button_widget.dart  | Dart     |         71 |          0 |          6 |         77 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\splash\data\datasources\splash_local_data_source.dart                             | Dart     |         -2 |          0 |         -1 |         -3 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\splash\presentation\bloc\splash_bloc.dart                                         | Dart     |          8 |          0 |          0 |          8 |
| d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\pubspec.yaml                                                                                  | YAML     |         17 |         -2 |          3 |         18 |
| Total                                                                                                                                                       |          |      2,431 |         19 |        263 |      2,713 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
